"AA","AB","AC","BA","BB","BC","CA","CB","CC"
"40366381",0.333333333333333,0.333333333333333,0,0.5,0,0.5,0,0,0
"40366396",0.166666666666667,0.333333333333333,0,1,0,0,1,0,0
"40366425",0.5,0.25,0,0.5,0.5,0,0,0,0
"40366471",0.4,0.2,0,1,0,0,0,0,0
"40366473",0.75,0.25,0,0.5,0,0,0,0,0
"40366487",0.6,0,0.2,1,0,0,1,0,0
"40366497",0.166666666666667,0.166666666666667,0.5,0.666666666666667,0,0,0.25,0.5,0.25
"40366543",0.25,0.25,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.5,0
"40366549",0.5,0.25,0,0.4,0.6,0,0,1,0
"40366574",0.285714285714286,0.285714285714286,0.142857142857143,0.6,0.2,0.2,0.333333333333333,0.333333333333333,0
"40366586",0,0.5,0,0.6,0.2,0,0,0,0
"40366643",0.6,0.2,0,1,0,0,0,0,0
"40366652",0.5,0.25,0,1,0,0,0,0,0
"40366661",0.25,0.5,0,1,0,0,0,0,0
"40366711",0,0.666666666666667,0.333333333333333,0.25,0.25,0,0.666666666666667,0.333333333333333,0
"40366716",0.75,0,0,1,0,0,0,0,0
"40366742",0.75,0,0,1,0,0,0,0,0
"40366748",0.2,0.6,0,0.6,0.4,0,1,0,0
"40366773",0.25,0.25,0,0.666666666666667,0,0.333333333333333,0,0,0
"40366812",0.25,0.5,0,0.666666666666667,0.333333333333333,0,1,0,0
"40366833",0.4,0.2,0.2,0.75,0.25,0,0,1,0
"40366857",0.5,0.25,0,1,0,0,0,0,0
"40366879",0.333333333333333,0.333333333333333,0.166666666666667,0.6,0.4,0,1,0,0
"40366928",0.25,0,0.25,0.5,0.5,0,0.5,0.5,0
"40366929",0.5,0.166666666666667,0.166666666666667,1,0,0,0,1,0
"40366938",0.5,0,0.25,0,0,1,0.5,0.5,0
"40366961",0.4,0.2,0.2,0.666666666666667,0.333333333333333,0,1,0,0
"40366987",0.333333333333333,0.5,0,1,0,0,0,0,0
"40366993",0.6,0.2,0,1,0,0,0,0,0
"40367005",0.4,0.4,0,1,0,0,0,0,0
"40367038",0.666666666666667,0.166666666666667,0,0.5,0.5,0,0,0,0
"40367161",0.5,0.5,0,0.5,0,0.5,0,0,0
"40367164",0,0.75,0,0.666666666666667,0.166666666666667,0,0,0.333333333333333,0.333333333333333
"40367179",0.6,0.2,0,1,0,0,0,0,0
"40367183",0.5,0.25,0,1,0,0,0,0,0
"40367189",0.333333333333333,0,0.333333333333333,0.5,0.5,0,1,0,0
"40367232",0.333333333333333,0.5,0,1,0,0,0,0,0
"40367240",0.75,0,0,0,0,0,0,0,0
"40367241",0.333333333333333,0.333333333333333,0,0.5,0.25,0,0,0,0
"40367278",0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0.5
"40367329",0.2,0.4,0.2,1,0,0,0.5,0,0.25
"40367338",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"40367339",0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0,1,0
"40367365",0.333333333333333,0.166666666666667,0.333333333333333,1,0,0,1,0,0
"40367373",0.25,0.25,0.25,1,0,0,1,0,0
"40367377",0.4,0,0.2,0,0,1,0.75,0.25,0
"40367407",0.5,0.25,0,1,0,0,0,0,0
"40367420",0.2,0.6,0,0.666666666666667,0.333333333333333,0,0,0,0
"40367442",0,0,1,0.142857142857143,0.714285714285714,0,0,1,0
"40367481",0.4,0.4,0,1,0,0,0,0,0
"40367534",0.4,0.4,0,0.75,0,0.25,0,1,0
"40367540",0.2,0.6,0,0.5,0.333333333333333,0.166666666666667,0,0,0
"40367544",0.6,0,0,0,0.333333333333333,0.666666666666667,0.5,0.5,0
"40367570",0.6,0.2,0,1,0,0,0,0,0
"40367677",0.571428571428571,0.142857142857143,0.142857142857143,1,0,0,1,0,0
"40367715",0.571428571428571,0.142857142857143,0.142857142857143,1,0,0,1,0,0
"40367728",0.5,0.25,0,1,0,0,1,0,0
"40367749",0.25,0.25,0.25,0,0.5,0,1,0,0
"40367752",0.5,0.25,0,1,0,0,0,0,0
"40367766",0.4,0.2,0.2,0.5,0.5,0,1,0,0
"40367789",0.6,0.2,0,1,0,0,0,0,0
"40367790",0.5,0.5,0,0.5,0,0,1,0,0
"40367795",0.4,0.4,0.2,1,0,0,0,0,0
"40367797",0,1,0,0.666666666666667,0.166666666666667,0,0,0,0
"40367829",0,0.2,0,1,0,0,0,0,0
"40367841",0.4,0.4,0,1,0,0,0,0,0
"40367860",0,0,0.333333333333333,0.4,0.2,0,0.5,0.5,0
"40367870",0.333333333333333,0.333333333333333,0,1,0,0,1,0,0
"40367946",0.75,0,0,0,0,0,0,0,0
"40368018",0.666666666666667,0,0,0,0,0,0,0,0
"40368021",0.75,0,0,0,0,0,0,0,0
"40368022",0.75,0,0,0,0,0,0,0,0
"40368025",0.75,0,0,0,0,0,0,0,0
"40368026",0.75,0,0,0,0,0,0,0,0
"40368034",0.4,0.2,0,1,0,0,0,0,0
"40368065",0.4,0.2,0,1,0,0,0,0,0
"40368157",0.5,0.25,0,0.666666666666667,0.333333333333333,0,0,0,0
"40368207",0.5,0.25,0,1,0,0,0,0,0
"40368223",0.2,0.6,0,0.6,0.2,0.2,0.5,0.5,0
"40368271",0,0.5,0,0.222222222222222,0.666666666666667,0.111111111111111,0,1,0
"40368291",0.333333333333333,0.5,0,1,0,0,0,0,0
"40368313",0.5,0,0,0,0,0,0,0,0
"40368318",0.25,0.5,0,1,0,0,0,0,0
"40368338",0.75,0,0,0,0,0,0,0,0
"40368346",0.5,0,0.25,0.333333333333333,0.666666666666667,0,1,0,0
"40368370",0,1,0,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0
